url;dominio;nome
http://www.bcdam.gov.br;bcdam.gov.br;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS
http://www.bdep.gov.br;bdep.gov.br;AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCO.
http://www.bdjur.gov.br;bdjur.gov.br;SUPERIOR TRIBUNAL DE JUSTICA
http://www.belomonte.gov.br;belomonte.gov.br;CENTRAIS ELETRICAS DO NORTE DO BRASIL
http://www.bemrecebercopa.gov.br;bemrecebercopa.gov.br;EMBRATUR INSTITUTO BRASILEIRO DE TURISMO
http://www.bid2002brasil.gov.br;bid2002brasil.gov.br;SECRETARIA DE ESTADO DA ADMINISTRACAO E PATRIMONIO
http://www.biodiesel.gov.br;biodiesel.gov.br;INSTITUTO BRASILEIRO DE INFORMACAO EM C&T
http://www.biodiversidade.gov.br;biodiversidade.gov.br;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE
http://www.bnb.gov.br;bnb.gov.br;BANCO DO NORDESTE DO BRASIL S/A
http://www.bndes.gov.br;bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.bndespar.gov.br;bndespar.gov.br;BNDES PARTICIPACOES S/A
http://www.boavistaenergia.gov.br;boavistaenergia.gov.br;CENTRAIS ELETRICAS DO NORTE DO BRASIL
http://www.bolaofederal.gov.br;bolaofederal.gov.br;CAIXA ECONOMICA FEDERAL
http://www.bolsadacaixa.gov.br;bolsadacaixa.gov.br;CAIXA ECONOMICA FEDERAL
http://www.brasil-rounds.gov.br;brasil-rounds.gov.br;AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCO.
http://www.brasil.gov.br;brasil.gov.br;PRESIDENCIA DA REPUBLICA
http://www.brasilcultura.gov.br;brasilcultura.gov.br;MINISTERIO DAS RELACOES EXTERIORES
http://www.brasilemcidades.gov.br;brasilemcidades.gov.br;MINISTERIO DAS CIDADES
http://www.brasilglobalnet.gov.br;brasilglobalnet.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.brasilia2010.gov.br;brasilia2010.gov.br;MINISTERIO DA CULTURA
http://www.brasilmaior.gov.br;brasilmaior.gov.br;MINISTERIO DO DESENVOLVIMENTO INDUSTRIA E COMERCIO
http://www.brasilpresente.gov.br;brasilpresente.gov.br;SECRETARIA DE COMUNICACAO SOCIAL
http://www.brasilre.gov.br;brasilre.gov.br;IRB - BRASIL RESSEGUROS SA
http://www.brasilsemiseria.gov.br;brasilsemiseria.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.brasilsemmiseria.gov.br;brasilsemmiseria.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.brasiltradenet.gov.br;brasiltradenet.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.brasiltransparente.gov.br;brasiltransparente.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.brazil-rounds.gov.br;brazil-rounds.gov.br;AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCO.
http://www.brazil.gov.br;brazil.gov.br;PRESIDENCIA DA REPUBLICA
http://www.brazilenvironment-mobile.gov.br;brazilenvironment-mobile.gov.br;MINISTERIO DO MEIO AMBIENTE
http://www.brazilglobalnet.gov.br;brazilglobalnet.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.brazilianexporters.gov.br;brazilianexporters.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.brazilrounds.gov.br;brazilrounds.gov.br;AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCO.
http://www.brazilsenvironment.gov.br;brazilsenvironment.gov.br;MINISTERIO DO MEIO AMBIENTE
http://www.braziltradenet.gov.br;braziltradenet.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.brmcc.gov.br;brmcc.gov.br;DEPARTAMENTO DE CONTROLE DO ESPACO AEREO
http://www.btn.gov.br;btn.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.butantan.gov.br;butantan.gov.br;INSTITUTO BUTANTAN
http://www.bvenergia.gov.br;bvenergia.gov.br;CENTRAIS ELETRICAS DO NORTE DO BRASIL
http://www.brasilexport.gov.br;brasilexport.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.brasil2016.gov.br;brasil2016.gov.br;MINISTERIO DO ESPORTE
http://www.bioform.gov.br;bioform.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.bn.gov.br;bn.gov.br;FUNDACAO BIBLIOTECA NACIONAL
http://www.brasilvoluntario.gov.br;brasilvoluntario.gov.br;MINISTERIO DO ESPORTE
http://www.btig.gov.br;btig.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.businessbrasil.gov.br;businessbrasil.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.businessbrazil.gov.br;businessbrazil.gov.br;MIN. RELACOES EXTERIORES DEPTO PROMOCAO COMERCIAL
http://www.c-brasil.gov.br;c-brasil.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.c-brazil.gov.br;c-brazil.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO
http://www.cade.gov.br;cade.gov.br;CONSELHO ADMINISTRATIVO DE DEFESA ECON
http://www.caged.gov.br;caged.gov.br;MINISTERIO DO TRABALHO E EMPREGO
http://www.caixa.gov.br;caixa.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaaqui.gov.br;caixaaqui.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixacultural.gov.br;caixacultural.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixadasorte.gov.br;caixadasorte.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixadotesouro.gov.br;caixadotesouro.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaeconomica.gov.br;caixaeconomica.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaeconomicafederal.gov.br;caixaeconomicafederal.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaforte.gov.br;caixaforte.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixainvest.gov.br;caixainvest.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixainveste.gov.br;caixainveste.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixamaisqueumbanco.gov.br;caixamaisqueumbanco.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixapostal.gov.br;caixapostal.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaqui.gov.br;caixaqui.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixaresolve.gov.br;caixaresolve.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caixavirtual.gov.br;caixavirtual.gov.br;CAIXA ECONOMICA FEDERAL
http://www.camara.gov.br;camara.gov.br;CAMARA DOS DEPUTADOS
http://www.camaradosdeputados.gov.br;camaradosdeputados.gov.br;CAMARA DOS DEPUTADOS
http://www.caminhaodasorte.gov.br;caminhaodasorte.gov.br;CAIXA ECONOMICA FEDERAL
http://www.caminhaofederal.gov.br;caminhaofederal.gov.br;CAIXA ECONOMICA FEDERAL
http://www.cancer.gov.br;cancer.gov.br;INSTITUTO NACIONAL DO CANCER
http://www.capes.gov.br;capes.gov.br;FUNDACAO CAPES
http://www.capitalderisco.gov.br;capitalderisco.gov.br;FINACIADORA DE ESTUDOS E PROJETOS
http://www.carrocampeao.gov.br;carrocampeao.gov.br;CAIXA ECONOMICA FEDERAL
http://www.cartaobndes.gov.br;cartaobndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI
http://www.cartelafederal.gov.br;cartelafederal.gov.br;CAIXA ECONOMICA FEDERAL
http://www.casabrasil.gov.br;casabrasil.gov.br;MINISTERIO DA CIENCIA E TECNOLOGIA
http://www.casacivil.gov.br;casacivil.gov.br;PRESIDENCIA DA REPUBLICA
http://www.casadamoeda.gov.br;casadamoeda.gov.br;CASA DA MOEDA DO BRASIL
http://www.casadoscontos.gov.br;casadoscontos.gov.br;CENTRO REGIONAL DE TREINAMENTO ESAF
http://www.casaruibarbosa.gov.br;casaruibarbosa.gov.br;FUNDACAO CASA DE RUI BARBOSA
